iter	Passed	Remaining
0	159	159755
1	168	84093
2	181	60209
3	193	48153
4	203	40546
5	213	35380
6	224	31872
7	235	29250
8	248	27314
9	258	25624
10	271	24378
11	280	23130
12	289	22016
13	299	21100
14	312	20539
15	323	19882
16	335	19382
17	346	18924
18	357	18469
19	372	18238
20	384	17940
21	397	17655
22	408	17372
23	421	17123
24	431	16824
25	448	16802
26	462	16684
27	475	16490
28	487	16326
29	498	16103
30	507	15857
31	517	15646
32	527	15467
33	538	15285
34	550	15185
35	566	15160
36	577	15041
37	590	14960
38	600	14805
39	611	14680
40	622	14557
41	633	14442
42	646	14393
43	659	14328
44	673	14290
45	683	14183
46	694	14079
47	704	13964
48	714	13859
49	726	13794
50	736	13709
51	749	13664
52	763	13639
53	775	13580
54	786	13518
55	801	13503
56	815	13486
57	830	13480
58	855	13652
59	898	14071
60	924	14228
61	953	14418
62	975	14514
63	997	14585
64	1012	14562
65	1026	14530
66	1052	14655
67	1073	14714
68	1106	14934
69	1126	14960
70	1147	15019
71	1164	15013
72	1178	14961
73	1190	14897
74	1203	14848
75	1217	14801
76	1232	14769
77	1251	14795
78	1269	14797
79	1295	14903
80	1311	14878
81	1325	14842
82	1339	14794
83	1352	14751
84	1369	14746
85	1399	14875
86	1441	15130
87	1485	15395
88	1510	15457
89	1529	15460
90	1555	15538
91	1574	15540
92	1590	15507
93	1605	15477
94	1620	15435
95	1636	15410
96	1657	15427
97	1679	15454
98	1695	15435
99	1710	15394
100	1724	15349
101	1739	15317
102	1756	15297
103	1769	15244
104	1782	15196
105	1808	15254
106	1835	15320
107	1858	15348
108	1881	15383
109	1907	15434
110	1925	15417
111	1937	15364
112	1951	15316
113	1969	15308
114	1985	15282
115	2003	15267
116	2016	15216
117	2028	15161
118	2040	15106
119	2052	15054
120	2066	15013
121	2081	14983
122	2095	14938
123	2108	14892
124	2122	14854
125	2140	14844
126	2151	14787
127	2164	14743
128	2174	14681
129	2185	14628
130	2197	14576
131	2206	14512
132	2220	14473
133	2231	14420
134	2241	14363
135	2251	14305
136	2261	14244
137	2273	14199
138	2282	14136
139	2291	14077
140	2301	14020
141	2310	13959
142	2320	13906
143	2329	13847
144	2342	13809
145	2353	13763
146	2364	13718
147	2374	13668
148	2384	13620
149	2398	13591
150	2408	13542
151	2418	13491
152	2431	13462
153	2458	13505
154	2477	13505
155	2489	13468
156	2500	13426
157	2509	13373
158	2520	13331
159	2533	13302
160	2543	13254
161	2554	13211
162	2566	13177
163	2581	13161
